Id_hp,Nama_hp,Brand,Harga,Ram,Memori_internal,Ukuran_layar,Resolusi_kamera,Kapasitas_baterai,Os,Rating_pengguna,Tahun_rilis,Stok_tersedia,Label,Resolusi_kamera_num,Harga_norm,Ram_norm,Memori_internal_norm,Ukuran_layar_norm,Kapasitas_baterai_norm,Rating_pengguna_norm,Resolusi_kamera_num_norm
34,Apple Note 17,Apple,21438073,12,64,6.1,64MP,6000,iOS,1.2,12/27/2020,False,Photographer,64,0.8486833976908025,0.6666666666666666,0.0,0.46153846153846134,1.0,0.04999999999999999,0.5416666666666666
756,Samsung Note 23,Samsung,24060437,8,512,6.7,48MP,6000,Android,2.4,2019-06-02 00:00:00,False,Daily,48,0.9604445875478579,0.3333333333333333,1.0,0.9230769230769234,1.0,0.35,0.375
149,Asus Note 6,Asus,15160268,8,64,6.7,12MP,5000,Android,4.6,2019-01-05 00:00:00,True,Daily,12,0.5811328377797558,0.3333333333333333,0.0,0.9230769230769234,0.5,0.8999999999999999,0.0
464,OnePlus Pro 16,OnePlus,13282620,12,128,6.7,12MP,5000,Android,4.0,2019-02-11 00:00:00,True,Gaming,12,0.5011103181704565,0.6666666666666666,0.14285714285714285,0.9230769230769234,0.5,0.75,0.0
156,Asus Pro 12,Asus,2191706,6,64,6.1,64MP,4500,Android,4.3,1/29/2020,True,Photographer,64,0.028432327913469127,0.16666666666666666,0.0,0.46153846153846134,0.25,0.825,0.5416666666666666
490,OnePlus Ultra 10,OnePlus,22812781,12,512,6.4,12MP,4000,Android,2.5,1/31/2019,False,Daily,12,0.90727137471688,0.6666666666666666,1.0,0.6923076923076926,0.0,0.375,0.0
153,Asus Pro 10,Asus,8909174,12,64,6.5,48MP,5000,Android,3.9,7/29/2021,True,Gaming,48,0.31472066031381274,0.6666666666666666,0.0,0.7692307692307694,0.5,0.725,0.375
444,OnePlus Note 25,OnePlus,22183205,16,128,5.5,12MP,4500,Android,3.5,11/21/2021,True,Gaming,12,0.8804397972297556,1.0,0.14285714285714285,0.0,0.25,0.625,0.0
884,Vivo Pro 23,Vivo,20603075,8,64,6.7,12MP,4500,Android,3.8,2024-03-04 00:00:00,False,Daily,12,0.8130970450684123,0.3333333333333333,0.0,0.9230769230769234,0.25,0.7,0.0
845,Vivo Max 9,Vivo,5715418,16,256,6.1,48MP,6000,Android,4.7,9/17/2022,False,Gaming,48,0.1786076071018597,1.0,0.42857142857142855,0.46153846153846134,1.0,0.925,0.375
35,Apple Note 17,Apple,3170962,16,512,6.5,12MP,4000,iOS,2.6,2024-08-02 00:00:00,True,Daily,12,0.0701667384433043,1.0,1.0,0.7692307692307694,0.0,0.4,0.0
578,Oppo Pro 8,Oppo,9990974,4,256,6.4,64MP,4000,Android,1.5,10/27/2019,True,Photographer,64,0.3608253411237089,0.0,0.42857142857142855,0.6923076923076926,0.0,0.125,0.5416666666666666
15,Apple Max 26,Apple,8469482,16,256,5.5,50MP,4500,iOS,1.5,2020-10-02 00:00:00,False,Gaming,50,0.2959816518883506,1.0,0.42857142857142855,0.0,0.25,0.125,0.3958333333333333
78,Apple Ultra 14,Apple,20525361,16,256,5.5,48MP,6000,iOS,3.6,1/29/2022,False,Gaming,48,0.8097849918566723,1.0,0.42857142857142855,0.0,1.0,0.65,0.375
